0,0,0
10012,19.6,0.76  
10170,20.6,0.98
10200,21.0,1.05
10206,21.0,0.96
10278,21.6,1.23
10335,22.0,1.31
10359,22.2,1.23
10489,22.6,1.33
10610,23.0,1.45
20028,17.6,0.53
20034,17.7,0.58
20049,18.0,0.57
20070,18.4,0.60
20104,18.8,0.65
20130,19.1,0.69
20185,19.8,0.83
20210,20.1,0.88
20239,20.4,0.93
20335,21.4,1.10
20364,21.6,1.20
30014,13.5,1.10
30103,15.5,0.82
40002,12.0,1.45
40022,12.6,1.25
40043,12.9,1.14
40130,14.0,0.99
40135,14.0,0.69
40144,14.0,0.79
40164,14.0,0.59
40351,14.9,0.85
40628,16.2,0.73
40821,16.6,0.73
41051,16.9,0.70
41107,17.0,0.58
41456,17.2,0.51
